CSA_mm2,R_20,Imax-1,Pv-1,Imax-2,Pv-2,Imax-3,Pv-3
0.5,36,3.5,0.6,-,-,-,-
0.75,24.5,5,0.7,-,-,-,-
1,18.1,6,0.7,-,-,-,-
1.5,12.1,7.5,0.8,9,1.3,15,8.2
2.5,7.41,10,0.9,13,1.5,21,3.7
4,4.61,14,1,18,1.7,28,4.2
6,3.08,18,1.1,23,2,36,4.7
10,1.83,24,1.3,32,2.3,50,5.4
16,1.15,23,1.5,44,2.7,67,6.2
25,0.73,43,1.6,59,3,89,6.9
35,0.52,54,1.8,74,3.4,110,7.7
50,0.39,65,2,90,3.7,134,8.3
70,0.27,83,2.2,116,4.3,171,9.4
95,0.19,101,2.4,142,4.7,208,10
120,0.15,117,2.5,165,5,242,10.7
150,0.12,-,-,191,5.4,278,11.5
185,0.1,-,-,220,5.7,318,12
240,0.08,-,-,260,6.1,375,12.7
300,0.06,-,-,301,6.6,432,13.5
