Category,Description,PartNumber,HeatLoss,MaxTemp
Contactor,"Acti9 4 poles, 4 NO, 25 A",A9C20834,1.6,60
Contactor,"Acti9 4 poles, 4 NO, 25 A",A9C20837,1.6,60
RCBO,"iC60N RCBO, 6A",A9D61806,1.3,60
RCBO,"iC60N RCBO, 10A",A9D61810,2,60
RCBO,"iC60N RCBO, 16A",A9D61816,2.1,60
RCBO,"iC60N RCBO, 20A",A9D61820,2.2,60
RCBO,"iC60N RCBO, 25A",A9D61825,2.7,60
RCBO,"iC60N RCBO, 32A",A9D61832 ,2.8,60
RCBO,"iC60N RCBO, 50A",A9D61850,4,60
MCB,"iC60N MCB, 1P, 1A",A9F44101,2.3,70
MCB,"iC60N MCB, 1P, 2A",A9F44102,1.9,70
MCB,"iC60N MCB, 1P, 6A",A9F44106,1.3,70
MCB,"iC60N MCB, 1P, 20A",A9F44120,2.2,70
MCB,"iC60N MCB, 1P, 32A",A9F44132,2.8,70
MCB,"iC60N MCB, 1P, 40A",A9F44140,3.6,70
MCB,"iC60N MCB, 1P, 64A",A9F44163,5.6,70
MCB,"iC60N MCB, 3P, 6A",A9F44306,3.9,70
MCB,"iC60N MCB, 3P, 10A",A9F44310,6,70
MCB,"iC60N MCB, 3P, 16A",A9F44316,6.3,70
MCB,"iC60N MCB, 3P, 20A",A9F44320,6.6,70
MCB,"iC60N MCB, 3P, 25A",A9F44325,8.1,70
MCB,"iC60N MCB, 3P, 30A",A9F44350,12,70
MCB,"iC60N MCB, 3P, 63A",A9F44363,16.8,70
MCB,"iC60N MCB, 1P, DC, 8A",A9N61508,2,70
MCB,"iC60N MCB, 1P, DC, 10A",A9N61510,2.1,70
MCB,"iC60N MCB, 1P, DC, 20A",A9N61520,4.6,70
RCBO,"DIN-T RCBO, 6A",DSRCBH-06-30-A,1.57,55
RCBO,"DIN-T RCBO, 10A",DSRCBH-10-30-A,1.56,55
RCBO,"DIN-T RCBO, 16A",DSRCBH-16-100-A,2.586,55
RCBO,"DIN-T RCBO, 16A",DSRCBH-16-30-A,2.586,55
RCBO,"DIN-T RCBO, 20A",DSRCBH-20-100-A,2.76,55
RCBO,"DIN-T RCBO, 20A",DSRCBH-20-30-A,2.76,55
RCBO,"DIN-T RCBO, 25A",DSRCBH-25-30-A,3.188,55
MCB,"DIN-T MCB, 2A",DTCB10102C,1.24,70
MCB,"DIN-T MCB, 6A",DTCB10106C,1.56,70
MCB,"DIN-T MCB, 10A",DTCB10110C,1.57,70
MCB,"DIN-T MCB, 16A",DTCB10116C,2.586,70
MCB,"DIN-T MCB, 20A",DTCB10120C,2.76,70
MCB,"DIN-T MCB, 6A",DTCB10306C,4.68,70
MCB,"DIN-T MCB, 10A",DTCB10310C,4.71,70
MCB,"DIN-T MCB, 16A",DTCB10316C,7.758,70
MCB,"DIN-T MCB, 20A",DTCB10320C,8.28,70
MCB,"DIN-T MCB, 25A",DTCB10325C,9.564,70
MCB,"DIN-T MCB, 32A",DTCB10332C,9.216,70
MCB,"DIN-T MCB, 40A",DTCB10340c,12,70
MCB,"DIN-T MCB, 6A",DTCB15306C,4.68,70
MCB,"DIN-T MCB, 2A",DTCB10202C,2.48,70
MCB,"DIN-T MCB, 10A",DTCB6210C,2.98,70
MCB,"DIN-T MCB, 4A",DTCB6204C,3.12,70
MCB,"DIN-T MCB, 4A",DTCB10204C,2.98,70
MCB,"DIN-T MCB, 20A",DTCB10220C,5.4,70
PSU,"PowerBox, 330W ",PB251A-24CM-CC-T-S,0.463,70
PFR,PhaseFail Relay,PPA-01-C-M44,0.4,70
MCCB,"TemBreak MCCB, 125A",S125NJ3125,40.4,70
MCCB,"TemBreak MCCB, 63A",S125NJ363,15,70
MCCB,"TemBreak MCCB, 40A",S250NE340,55,70
MCCB,"TemBreak MCCB, 250A",S250NE3250,19,70
